#separator:tab
#html:true
"<img src=""paste-616905234e4a4e7e1759f9dc4b91ba98e35f41d3.jpg"" title=""이 &lt;&gt; 기본서 676 참조
BE(He), 네온 (46), 아르곤 ( 시 ) 등불활성기체는불안정한상태이다 .""/>"	"<img src=""paste-d9d69175f2c65095d49dfefe7720fbf78abca63b.jpg"" title/>X"
"<img src=""paste-275ddcc1c2f89634be380a7c2dd8cabb9bc34542.jpg"" title=""02 &lt;&gt; 기본서 6.76 참조마그네슴 (\49) 등알칼리토금속은알칼리금속보다화학적활성이큰편이다 .
ㅇ |※""/>"	"<img src=""paste-fbb5ab7bc7c8d4c7a7111773f07eb1e688aacbe3.jpg"" title/>X"
"<img src=""paste-92763c315fbb1711f6c2b6322f609e314d4b5c4a.jpg"" title=""03 기본서 676 참조할로겐족원소는주기율표에서 7 족 (17 족 ) 원소로 HARIHS 수가 7 개임을의미한다 .
O IR""/>"	"<img src=""paste-ec5a913faf2f68e7b45cc79f5a70a011a7c07af1.jpg"" title/>X"
"<img src=""paste-6a29612e8fe4ae25a65c2e9605e0e1d5801c2f97.jpg"" title=""04 &lt;&gt; 기본서 016 참조나트륨 (42) 은이온이될경우전자를잃어 1 가음이온이된다 .
ㅇ 1×""/>"	"<img src=""paste-48819feacb26480a6d3013b1773e4995ae2e806b.jpg"" title/>X"
"<img src=""paste-ce0507c4cb6796167a2d47bd55373b4868d48f6f.jpg"" title=""05 &lt;&gt; 가본서 018 참조이산화질소 (402) 의분자량은 46 이고 , 이산화탄소 (&lt;02) 의분자량은 44 이다 . ( 단 ,
원자량은탄소 12, 질소 14, 산소 16 이다 .)
ㅇ 1%""/>"	"<img src=""paste-d1257cf3a713e5ce0d29f35e54ca1f9a8f6d3a38.jpg"" title/>O"
"<img src=""paste-8f206e8d6f5531a5f4370ee3ab563ffe497edfc8.jpg"" title=""0
「으결합이리시 &lt;5 기본서 0.19 참조공유란비금속원소와비금속원소가서로원자핵을원
i 원 : + 핵을내놓아원자핵을공유하며
ㅇ 1×""/>"	"<img src=""paste-9a428faf2a867c0de7a071cadaddae7b1599cc40.jpg"" title/>X"
"<img src=""paste-42e4bb2b06ab4da0bc0c5be3ee29b0f3d98ac4fc.jpg"" title=""07 5 기본서 0.9 참조이온결합이란전하를 T 양이온과음이온사이의정전기적인력에기반을둔결합을의미한다 .
ㅇ ×""/>"	"<img src=""paste-edfb2e49e33128431ad3c08bd61e722b1665d602.jpg"" title/>O"
"<img src=""paste-a2b211db58690eab7fb63791d08385bcacbdacad.jpg"" title=""08 &lt; 기본서 0.20 참조수소결합이란 , O, \ 등전기음성도가강한 2 개의원자사이에수소 +1 가들어감으로써생기는강한분자간의인력을말한다 .
ㅇ 1×""/>"	"<img src=""paste-81506bc87005ed0702d6979b5d1baa48c6ccda1e.jpg"" title/>O"
"<img src=""paste-7cfe4e150eb2587bc718fd218b35ca1fcf7501c9.jpg"" title=""09 &lt;5 기본서 0.20 참조물 (420) 은분자내에서수소결합을 , 분자간에는극성공유결합을하여소화약제로써의효과가뛰어나다 .
뽀
ㅇ 1×""/>"	"<img src=""paste-4404641a32b4aa690defb0ff1876e0208f51a72f.jpg"" title/>X"
"<img src=""paste-6513e9195626a4a8d814dc14e33dad2c42eae384.jpg"" title=""10 5 기본서 7 거참조배수비례의법칙은두물질이결합하여화합물을만들때반응하는두물질사이의질량사이에는일정한비가성립함을의미한다 .""/>"	"<img src=""paste-f476adb4e5d44d8c872b4349b56c2db38501a597.jpg"" title/>X<div><img src=""paste-7a2eb71fcd1d297f5cd69cdf4daf8e8b6466d4eb.png"" title/><br/></div>"
"<img src=""paste-1caca82c642c2966348e375bac1f62fc94a4ba43.jpg"" title=""ㅠ 기본서 0.22 참조고체는기체보다분자간의거리가가깝고분자간의인력이약한특징을갖는다 .
0 ㅇ 1×""/>"	"<img src=""paste-fc8fc6a2f921efe85d15b6d53ed1619b6962c3bf.jpg"" title/>X"
"<img src=""paste-1fabf4db1944046ef941a2c7f219d5287fc3822f.jpg"" title=""12 &lt;5 기본서 0.22 참조나무가타는과정은물리적변화의과정에해당하며 , 원자의종류및개수는변화하지않지만 , 분자의배열이변하는과정이다 .
o1x""/>"	"<img src=""paste-5339fbc80dca213c2bae819db9b9182722daffb2.jpg"" title/>X"
"<img src=""paste-c81759ed69a263be208cda186c11421750d8f323.jpg"" title=""&lt;&gt; 기본서 0.22 참조소금이용해되는과정은화학적변화에해당한다 .""/>"	"<img src=""paste-e85b7b74e855eee2a8fb4398ebdca25982dc0562.jpg"" title/>X"
"<img src=""paste-5895180e8fc8024262d0475ff40d34a868fc292a.jpg"" title=""14 &lt;5 가본서 0.23 참조고체가액체로상태변화하는과정을용해라하며 , 고체가기체로상태변화하는과정을기화라한다 .
ㅇ 1×""/>"	"<img src=""paste-3a223f7e5b2a86c2f0af0b39d88ba4cd9d42d220.jpg"" title/>X"
"<img src=""paste-32c449bcccefe30700c1394871269cf14fb4fc31.jpg"" title=""15 &gt; 기본서 0.23~24 참조얼음이녹거나물이증발하는것과같이물질의온도변화없이상태변화에만사용되는열을잠열 ( 숨은열 ) 이라한다 .
ㅇ 1×""/>"	"<img src=""paste-3c436a924c3327fb7571fc332c058ea557d5f283.jpg"" title/>O"
"<img src=""paste-f4b15ef4def5b3315b90875bfd4834abec3a06d0.jpg"" title=""16 5 기본서 0.24 참조
2(H,0)2] 융해열은 539[&lt;31/9] 이고 , 기화열은 80[631/9] 이다 .""/>"	"<img src=""paste-cc23519da7975378b5d6f65f3f4189ee959db69e.jpg"" title/>X"
