#separator:tab
#html:true
"<img src=""paste-8693f1d2b731c95def02f6025487fbecb02480b8.jpg"" title=""이 &lt;&gt; 기본서 0.96 참조화재란사람의의도에반하거나고의또는과실에의하여발생하는연소현상으로서소화할필요가있는현상또는사람의의도에반하여발생하거나확대된물리적폭발현상을말한다 .
@1%×※""/>"	"<img src=""paste-f2a73c743b735900d842ebaa6479c9897cfd34fe.jpg"" title/>X"
"<img src=""paste-88338baf34764ec9926079d3918f2a84c2512502.jpg"" title=""02 &lt;5 기본서 0.98 참조표시색은일반화재의경우백색 , 유류화재의경우청색 , 전기화재의경우무색 , 34
화재의경우황색이다 .
0 ㅇ 1×""/>"	"<img src=""paste-66f0e2a09fc0ae877407785639fd2eab26537919.jpg"" title/>X"
"<img src=""paste-4834c6bb97dc0f592d6c33c181714b0fa9537ea3.jpg"" title=""03 &lt;&gt; 기본서 0.98 참조국내의화재안전기술기준에서는화재의종류를일반화재 , 유류화재 , 전기화재 , 금속화재및주방화재로분류한다 .
ㅇ 1×""/>"	"<img src=""paste-2a4bcc0d983aef5dc35bc208f769d9850dcb44d7.jpg"" title/>O"
"<img src=""paste-1d4b4221e179a80b102f5e8d39aa66830acd293b.jpg"" title=""04 &lt;&gt; 기본서 0.99 참조일반화재의연기색상은백색이며 , 화재성장속도가유류화재에비해빠른편이다 .
ㅇ 1×""/>"	"<img src=""paste-96ff1a11dd0ee0147e1aca3338e90f57ed163e9f.jpg"" title/>X"
"<img src=""paste-8bd9e5ecd4978389275af6e3fdee9248df4d1f9c.jpg"" title=""05 가본서 0.99 참조유류화재란인화성액체 , 가연성액체 , 석유그리스 , 타르 , 오일 , 유성도료 , 솔벤트 , 래커 ,
알코올및인화성가스와같은유류가타고나서재가남는화재를말한다 .
@.1%""/>"	"<img src=""paste-3a3667495598c4eae3c5cf1880c1cd657d7f78a3.jpg"" title/>X"
"<img src=""paste-641f78f4d056546d64ecfc5cebe3ebaaaf7e3dcf.jpg"" title=""06 &gt; 기본서 0.99 참조유류화재시주수를하게되면물의비중이기름보다작은밀도차이에의해유류가물위에떠서흘러연소면을확대시킬우려가있으므로주의하여야한다 .
ㅇ 1×※""/>"	"<img src=""paste-404726ef33161211a856f81e64739968a1b8e276.jpg"" title/>X<div><img src=""paste-99bc2fb5e375069e3108ce8bbe6e59c9a5fdf5da.png"" title/><br/></div>"
"<img src=""paste-abef834f7bffe94ddc28031b40a9b6affd9836f0.jpg"" title=""07 기본서 0100 참조오일오버 ( 이 0/0) 란유류가탱크내용적의 50% 이상으로충전되어있을때화재로인해증기압력이상승하고유류를외부로분출하면서탱크가파열되는현상으로 ,
다른이상현상보다안전성이높은편이다 .
ㅇ 1×""/>"	"<img src=""paste-d2efa99b5365848ed824a85b5f076d0bcd212aaf.jpg"" title/>X<div><img src=""paste-4d12e2a2d441b8013a3d81d6c0ea088327a3f686.png"" title/><br/></div><div><img src=""image-5ee0d7a6b032f1bb08cf3c747763d573ae754626.jpg"" title/><br/></div>"
"<img src=""paste-815ffa7b33eb6cc83bdb94a959afd7e6786ca14e.jpg"" title=""08 &lt;&gt; 기본서 000 참조보일오버 (801 over)E 방지하기위해서는탱크내부에기계적교반을실시하여야한다 .
ㅇ 1×""/>"	"<img src=""paste-7d32a3b75e3a6c2c702f03588141ceca0377babe.jpg"" title/>O<div><img src=""paste-4d12e2a2d441b8013a3d81d6c0ea088327a3f686.png"" title/><br/></div><div><img src=""image-3f6dad1c66de81614b3e6182b7cdeb2054b0c334.png"" title/><br/></div>"
"<img src=""paste-4589f64bf2efb9088fdc34f0f38eeb350b08a631.jpg"" title=""09 &lt;5 기본서 0- 이참조보일오버 (80 over)2t 비점이높고점성을가진고온의유류표면에서부터소화작업등에의한물또는포소화약제가주입되면수분의급격한증발에의해불이붙은유류가탱크벽을타고넘는현상을말한다 .
ㅇ 1×""/>"	"<img src=""paste-2eaa48260716f14f875a1e69054b8ed2874ec5d8.jpg"" title/>X<div><div><img src=""paste-3f6dad1c66de81614b3e6182b7cdeb2054b0c334.png"" title/><br/></div></div><div><img src=""image-4a202185c176f1f9d91af21b598441482f5b3a11.jpg"" title/><br/></div>"
"<img src=""paste-89936aa6005db7dbab42dfd78c1d3b2c0a5f4269.jpg"" title=""10 5 기본서 002 참조
Z2AQH|(Forth ㅇ /6!) 란점성을가진뜨거운유류표면의아래부분에서물이비등할경우비등하는물이저장탱크내의유류를외부로넘쳐흐르게하는현상을말하며 , 발생횟수가많으나화재를수반하지않는다 . 또한 , 다른이상현상보다위험성이매우높다 .""/>"	"<img src=""paste-ffc7f6bb4a0c4b1d3a975e3481b3237e55d8f501.jpg"" title/>X<div><img src=""paste-3f6dad1c66de81614b3e6182b7cdeb2054b0c334.png"" title/><br/></div><div><img src=""paste-baea324d0258561b762ec9227519912f72ed4635.jpg"" title/><br/></div>"
"<img src=""paste-ef247362d1fcb56d2f64f76c0a56e5185e04fdcd.jpg"" title=""ㅠ &lt;5 기본서 0103 참조중질유는액온이인화점보다높아상은에서도쉽게기화하여연소범위를형성하며화염이그증기층을통하여전파하며가연성혼합기의화염전파 ( 예혼합형전파 ) 와비숫하다 .
ㅇ 1×""/>"	"<img src=""paste-132fb1d7bb60bc224c17c7ef9f178d993b644063.jpg"" title/>X<div><img src=""paste-80db317f4768a53464dd08746db91c1ee0e2f062.png"" title/><br/></div>"
