#separator:tab
#html:true
"<img src=""paste-1f3be686e845aca91c7c37425b688f143f9c1713.jpg"" title=""이 &lt;&gt; 기본서 6180 참조내장재료의화재안전성능은 “ 불연재료 &lt; 준불연재료 &lt; 난연재료 ” 이다 .""/>"	"<img src=""paste-ae4516c1860a82e2c828893426610ed743900673.jpg"" title/>X"
"<img src=""paste-274e2ce5398a8a0c232de244746e47d35892bcc4.jpg"" title=""02 &lt;5 기본서 0100 참조건축물의옥외에있는운동시설 ( 수영장은제외한다 ) 은방염성능기준이상의실내장식물등을설치하여야하는특정소방대상물에해당한다 .
0 ㅇ 1×""/>"	"<img src=""paste-1a0cb6f8237e6df8346c3a2606eb3b42a20ce3bf.jpg"" title/>X<div><img src=""paste-24a833bd47621ca88dfb66f66fe26718cc46be80.png"" title/><br/></div>"
"<img src=""paste-2f0802447a0f5880f0f8f66cad018601822bbaa7.jpg"" title=""03 &lt;&gt; 기본서 0.180 참조다중이용업소 , 교육연구시설중합숙소 , 방송통신시설중방송국및촬영소는모두방염성능기준이상의실내장식물등을설치하여야하는특정소방대상물에해당한다 .
ㅎ 1""/>"	"<img src=""paste-ea8958a46b6144171b09034893c11710f0036d46.jpg"" title/>O<div><img src=""paste-24a833bd47621ca88dfb66f66fe26718cc46be80.png"" title/><br/></div>"
"<img src=""paste-1b40affcbe9125acf5aac175013c83a00b241619.jpg"" title=""04 &lt; 기본서 6.81 참조제조또는가공공정에서방염처리를한무께가 2 밀리미터이상인종이벽지는방염대상물품에해당한다 .
ㅇ 1×""/>"	"<img src=""paste-958e516217be72e5034e7456e7d43eccd83aa9eb.jpg"" title/>O<div><img src=""paste-6f75aa7c816e00234514bc760bf9bc80d7098453.png"" title/><br/></div>"
"<img src=""paste-c18d50ec9e5321fcb6f7b0834a90b28bcb6cba24.jpg"" title=""05 &lt;5 기본서 0182 참조산후조리업에설치하는섬유류또는합성수지류등을원료로하여제작된소파 , 의자로서제조또는가공공정에서방염처리를한물품은방염대상물품에해당한다 .
ㅇ 1×""/>"	"<img src=""paste-0f5c0168e4d9fe2fd726f606094fb277d6b8d344.jpg"" title/>X<div><img src=""paste-159a664a9745ac34f1b8723a41754c80dd1a9bf1.png"" title/><br/></div>"
"<img src=""paste-f1fac351109cfac45afb3156d71ba0252d40531b.jpg"" title=""06 &lt;5 기본서 0182 참조두께 2 밀리미터미만인종이류를주원료로한물품으로서건축물내부의천장이나벽에부착하거나설치하는것은방염대상물품에해당한다 .
ㅇ 1×""/>"	"<img src=""paste-f052126dd6d7c9e52b0200b2736a69bf41ffbd60.jpg"" title/>X<div><img src=""paste-6f75aa7c816e00234514bc760bf9bc80d7098453.png"" title/><br/></div>"
"<img src=""paste-0806ffc74881286560fcf5f4a708adfc62c2f482.jpg"" title=""07 &lt;5 기본서 0182 참조방염성능기준에따라탄화한면적은 20 제곱센티미터이내 , 탄화한길이는 50 센티미터이내이어야하며 , 불꽃에의하여완전히녹을때까지불꽃의접촉횟수는 5 회이상이어야한다 .
ㅇ 1×""/>"	"<img src=""paste-dd919dfd76a3ae6e5c9122890c4ebc858d612c72.jpg"" title/>X"
"<img src=""paste-195fa3247d4f50a5be49aa76ffd72dfee736b9ec.jpg"" title=""08 &lt;5 기본서 6782 참조방염성능기준에따라잔진시간은 20 초이내이어야하며 , 잔염시간은 30 초이내이어야한다 .
ㅇ 1×""/>"	"<img src=""paste-d8202451801ed665d81b7edaef0309c100dab6d8.jpg"" title/>X"
"<img src=""paste-8651326d803a1f0369b1a757c9e87d254e81e2b8.jpg"" title=""09 &lt;&gt; 기본서 0182 참조소방본부장또는소방서장은방염대상물품외에숙박시설에사용하는카펫은방염처리된물품을사용하도록권장할수있다 .
ㅇ 1%×""/>"	"<img src=""paste-da40ea23dce248a1c7d722cfe59e89be20ab01fe.jpg"" title/>X<div><img src=""paste-159a664a9745ac34f1b8723a41754c80dd1a9bf1.png"" title/><br/><div><img src=""paste-043ebd3c3a776a03a579a3b8a81b0a7208600384.png"" title/><br/></div></div>"
"<img src=""paste-35fdc46ef32f4958365274ecd8444fcdc1773177.jpg"" title=""10 &lt;5 가본서 0183 참조주요구조부에는바닥 , 보 , 내력벽 , 주계단 , 기둥 , 차양이있으며 , 최하층의바닥 , 보조계단 , 옥외계단은제외한다 .
ㅇ 1×""/>"	"<img src=""paste-ca4e1ef8c39bd39ed294c8f7b42815b1f0f9971d.jpg"" title/>X<div><img src=""paste-0051b3ce574f7593190cbb8cc7adbe4a81d834e5.png"" title/><br/></div>"
"<img src=""paste-02b08ac5e4f03616773ecc88f9e82d1ed1442168.jpg"" title=""n &lt;&gt; 기본서 0183 참조내화구조란화재시일정시간동안견딜수있는성능및강도를가지는구조로서화재이후재사용이가능하지않은것을의미한다 .
o1l x""/>"	"<img src=""paste-3c35802f5db25c3031ff542757f7d74641cb5861.jpg"" title/>X<div><img src=""paste-9e0edfa3222f1fa78fb6216e40e4e055f6de7efb.png"" title/><br/></div>"
"<img src=""paste-12b970f7089b6428ac7fb185078f3277391ca456.jpg"" title=""12 &lt;&gt; 기본서 6184 참조벽의내화구조기준에따라벽돌조로서두께가 10[ ㅇ 07 이상인것이해당한다 . ( 단 , 외벽중비내력벽의경우는제외한다 .)
ㅇ 1×""/>"	"<img src=""paste-3d624911ba8f93acb27e23b3a6d9d66af3ab5df6.jpg"" title/>X<div><img src=""paste-698b5b2e02f2a30e059009072de7d9daba71b350.png"" title/><br/></div>"
"<img src=""paste-cc70321d3de15249d0cd1e2c2ae6376abfc9d076.jpg"" title=""13 &lt;&gt; 가본서 0784 참조벽의내화구조기준에따라고온 - 고압의증기로양생된경량기포콘크리트패널또는경량기포콘크리트블록조로서두께가 S[cm] 이상인것이해당한다 . ( 단 , 외벽중비내력벽의경우는제외한다 .)
0 ㅇ 1×""/>"	"<img src=""paste-61bec241d31b5f4539839609508a50cd0447ff74.jpg"" title/>X<div><img src=""paste-698b5b2e02f2a30e059009072de7d9daba71b350.png"" title/><br/></div>"
"<img src=""paste-1bf9b4b08392ccaf82b2193390f9dc271bbb4c66.jpg"" title=""14 &lt;&gt; 기본서 0184 참조바닥의내화구조기준에따라철근콘크리트조또는철골철근콘크리트조로서두께가
10[cm] 이상인것이해당한다 .
1""/>"	"<img src=""paste-7ba68e9bb3c7f78c2a5714473d5a4407a0b9f888.jpg"" title/>O<div><img src=""paste-698b5b2e02f2a30e059009072de7d9daba71b350.png"" title/><br/></div>"
"<img src=""paste-3cc6c1a0359541984c7dc567aae54e567fe2a4ba.jpg"" title=""15 &lt;&gt; 기본서 0185 참조방화구조의기준에따라시멘트모르타르위에타일을붙인것으로서두께가 2[ ㅇ ]
이상인것이해당한다 .
@ ㅇ 1""/><div><img src=""image-821e0c77cdf99f6a5c99c35ec6cf9a761ae2e632.jpg"" title=""구조철망모르타르석고판위에시멘트모르타르또는회반죽을바른것시멘트모르타르위에타일을붙인것심벽에흙으로맞벽치기한것한국산업표준에따라시험한결과방화 2 급이상에해당하는것""/><br/></div>"	"<img src=""paste-e631d000f16dd081795ec47ecc9057ddc66b8acd.jpg"" title/><div><img src=""paste-967d7f4f027db9c0f8b97c78509a00a38431bca6.png"" title/><br/></div>"
"<img src=""paste-72ebad1dcd18e00b99ae1fcb7f2a672acbdee7ae.jpg"" title=""16 &lt;5 기본서 0785 참조주요구조부가내화구조또는불연재료로된건축물로서연면적이 S00[m?] 이상인건축물에는방화구획을해야한다 .
o1x""/>"	"<img src=""paste-7c95f461088b9bfa971079e2ee09be61c2d638dd.jpg"" title/>X<div><img src=""paste-6867e4c98147f6420f137a471b35028a35a47000.png"" title/><br/></div>"
"<img src=""paste-8b1286f5960c9eaac920e7269616d5fbc5c3c4df.jpg"" title=""17 &gt; 기본서 6185 참조내장재가불연재료이고자동식소화설비가설치되어있는경우로서 15 이상인건축물의경우에는 600[m?] 이내마다방화구획을해야한다 .
ㅇ 1×""/>"	"<img src=""paste-7b78b5d640b62c2d642259920e6bfc734349e0af.jpg"" title/>X<div><img src=""paste-6867e4c98147f6420f137a471b35028a35a47000.png"" title/><br/></div>"
"<img src=""paste-11c267e435b62527d91296a70a400e5e16a0a6ac.jpg"" title=""8 Q7 pass 참조
10 층이하인건축물의경우에는자동식소화설비가설치되지않은경우에는 S00(m’]
이내마다 , 자동식소화설비가설치된경우에는 _500[07) 이내마다방화구획을해야한다 .
ㅇ 1×""/>"	"<img src=""paste-c1931ea52f55bfdd0a4ac053f2acf97fe92fce28.jpg"" title/>X<div><img src=""paste-6867e4c98147f6420f137a471b35028a35a47000.png"" title/><br/></div>"
"<img src=""paste-88a2a555bb96a907b6e0f4d459eee74457eb3683.jpg"" title=""19 5 기본서 0106 참조방화벽은내화구조로서홀로설수있는구조이어야한다 . 또한 , 방화벽의양쪽끝과위쪽끝을건축물의외벽면및지붕면으로부터 1[m] 이상튀어나오게하여야한다 .
ㅇ 1×""/>"	"<img src=""paste-6e7d08f9c3d38252d1d32a666104efc13038b908.jpg"" title/>X<div><img src=""paste-4181c7e27c9f2b2dbd8b93ad44fae0916e6a85a8.png"" title/><br/></div>"
"<img src=""paste-5dee1bc2603541a1d965c0a09427dffa5cf67b2a.jpg"" title=""20 5 기본서 0186 첨조방화벽에설치하는출입문의너비및높이는각각 2.5[m] 이상으로하고 , 해당출입문에는 30 분방화문을설치해야한다 .
ㅇ 1×""/>"	"<img src=""paste-41e17ea6a65cb7df288d21382b21709ff5744d9f.jpg"" title/>X<div><img src=""paste-4181c7e27c9f2b2dbd8b93ad44fae0916e6a85a8.png"" title/><br/></div>"
"<img src=""paste-c25bbf261b3e96087e5ecf74ddf05a499fc3a935.jpg"" title=""21 &lt;5 기본서 0186 참조
60 분 + 방화문의경우에는연기및불꽃을차단하는시간이 60 분이상이고 , 열을차단하는시간이 60 분이상인것을의미한다 .
0 ㅇ 1×""/>"	"<img src=""paste-703404eefa7766ddb56032aea5de83a007a35618.jpg"" title/>X<div><img src=""paste-4181c7e27c9f2b2dbd8b93ad44fae0916e6a85a8.png"" title/><br/></div>"
"<img src=""paste-f478ea8c7520d1a17e02955cbdf471acd26b3b6c.jpg"" title=""22 &lt;5 기본서 0107 참조무창층은지하층중요건을모두갖춘개구부면적의합계가해당 SO 바닥면적의
1/30 이상이되는층을의미한다 .
ㅎ 1%""/>"	"<img src=""paste-a36004fd2faf817302fc4c0edbce92a6bace195c.jpg"" title/>X<div><img src=""paste-c25e6b7692bd03c540e9af2d842f77807181fd79.png"" title/><br/></div>"
"<img src=""paste-7fa2c1685cfcc9f284fa33f520cbbeca792f7188.jpg"" title=""23 &lt;&gt; 기본서 0787 참조무창증의개구부기준에따라개구부의크기는지름 60[ ㅇ 07)] 이상의원이통과할수있어야한다 .
ㅇ 1×""/>"	"<img src=""paste-c916bb319def8eaa0779e3e4b7260c8ec989a226.jpg"" title/>X<div><img src=""paste-c25e6b7692bd03c540e9af2d842f77807181fd79.png"" title/><br/></div>"
"<img src=""paste-63500004a9229b447355a6ce5eed94bad908df64.jpg"" title=""24 &lt;&gt; 기본서 007 참조무창층의개구부기준에따라개구부는해당증의바닥면으로부터개구부윗부분까지의높이가 20 이내이어야하며 , 내부또는외부에서쉽게부수거나열수없어야한다 .
ㅇ 1%※""/>"	"<img src=""paste-a289e95d363dd0526d6dcbfa159411b1618029e3.jpg"" title/>X<div><img src=""paste-c25e6b7692bd03c540e9af2d842f77807181fd79.png"" title/><br/></div>"
"<img src=""paste-c2030a8ea7731044c3f2b03d212aad014a4a07f0.jpg"" title=""25 &lt;&gt; 기본서 0107 참조피난층이란곧바로지상으로갈수있는출입구가있는층을말한다 .""/>"	"<img src=""paste-9108495eb4965d1fba22ac7ec2f02699796fe765.jpg"" title/>O"
"<img src=""paste-30f7ebac31708eb9f57327eb3d983826120271ab.jpg"" title=""26 &lt;&gt; 기본서 0188 참조지하층이란건죽물의바닥이지표면아래에있는층으로서바닥에서지표면까지의평균높이가해당층놓이의 1/10 이상인것을말한다 .
0 ㅇ 1×""/>"	"<img src=""paste-c21f70c06e9b315a5105cb0236e462e9049c61d0.jpg"" title/>X"
