#separator:tab
#html:true
"<img src=""paste-2e20aad60f1f180979c519f3a8090a52fd16de09.jpg"" title=""이 &lt;&gt; 기본서 6.232 참조소방시설의분류에는소화설비 , 경보설비 , 비상구조설비 , 소화용수설비및소화활동설비가있다 .
o1x""/>"	"<img src=""paste-621e03ce54aa0939f411925459d38328d48e6516.jpg"" title/>X"
"<img src=""paste-547e31bb1c1fd6249469840074a4d4db6f54fb13.jpg"" title=""02 &lt;&gt; 가본서 0.232 참조자동소화장치의종류에는주거용주방자동소화장치 , 공업용주방자동소화장치 , 액체자동소화장치 , 가스자동소화장치 , 분말자동소화장치 , 고체에어로졸자동소화장치가있다 .
ㅇ 1×""/>"	"<img src=""paste-fe6b92bbe972297a01a20f3bcbbcc1a3cf8c70e8.jpg"" title/>X<div><img src=""paste-86aefa96bd587321adfd6077ef4e7d25c296faa2.png"" title/><br/></div>"
"<img src=""paste-1b399509886075705fc437248b08ca956be64d97.jpg"" title=""03 &lt;5 기본서 0.232 참조포소화설비 , 강화액소화설비등은물분무등소화설비에해당한다 .""/>"	"<img src=""paste-ffab2968ba4ea940c28327f041b0ced44d968c64.jpg"" title/>O<div><img src=""paste-86aefa96bd587321adfd6077ef4e7d25c296faa2.png"" title/><br/></div>"
"<img src=""paste-38a851dd2dc886e1f2addb8d2f93ab278607c44f.jpg"" title=""04 &lt;&gt; 기본서 .233 참조경보설비에는자동화재속보설비 , 자동화재탐지설비 , 화재알림설비 , 통합감시시설 ,
무선통신보조설비등이있다 .
o1x""/>"	"<img src=""paste-ea8d7c23adc7c0b2fbc0070b0435a05d8e77f596.jpg"" title/>X<div><img src=""paste-61f5fde709215cc72e19b73182caee51b5c705f9.png"" title/><br/></div>"
"<img src=""paste-1d919df7e9e45686bd8dd3168f9d85f3107ab1ed.jpg"" title=""05 &lt;&gt; 기본서 0.233 참조인명구조설비는화재를진압하거나인명구조활동을위하여사용하는설비에해당한다 .
ㅇ 1×""/>"	"<img src=""paste-4ed88f7304976747e88ff146388c12be2faa2b96.jpg"" title/>X<br/><img src=""paste-1aec61ddea994305055028b3efb7046b50775609.jpg"" title/><br/><div><img src=""paste-61f5fde709215cc72e19b73182caee51b5c705f9.png"" title/><br/></div>"
"<img src=""paste-383986f96813d40e9b3cfc4085f9b35398eb4b87.jpg"" title=""06 &lt;&gt; 기본서 0.233 참조피난기구의종류에는방열복 , 방화복 , 완강기 , 간이완강기및그밖에화재안전기준으로정하는것이있다 .
으 1""/>"	"<img src=""paste-e22a029ed8a57f922a5eada8234f700dfc5dd95c.jpg"" title/>X<div><img src=""paste-61f5fde709215cc72e19b73182caee51b5c705f9.png"" title/><br/></div>"
"<img src=""paste-77a301d6467a5648c53abb0c0c0b36ed2c49ff74.jpg"" title=""07 &lt;&gt; 기본서 0234 참조연결송수관설비 , 연소방지설비 , 상수도소화용수설비및제연설비는소방시설의범주가동일한것에해당한다 .
ㅇ 1×""/>"	"<img src=""paste-c9687602ea0c5658dc4c5caf6f841b7ae281ad44.jpg"" title/>X<div><img src=""paste-7f9c2bf2166a052d7770218d6c0264a280371542.png"" title/><br/></div>"
"<img src=""paste-34c60c7102065a61b75efcde2b18b7cbd5bef191.jpg"" title=""08 &lt;5 기본서 0.234 참조비상구의크기는비상구문틀을제외한길이로 712 50[cm] 이상 , 세로 100[007)] 이상이어야한다 .
ㅇ 1×""/>"	"<img src=""paste-8962243a67d73c41d735b90b42bad4453e7f112b.jpg"" title/>X"
"<img src=""paste-c19ac67744c5afa4885db2e135119fb8e3b21094.jpg"" title=""09 &lt;&gt; 가본서 0.234 참조소방시설등은소방시설과비상구 , 그밖에소방관련시설로서대통령령으로정하는것 ( 방염대상물품및자동방화셔터 ) 을말한다 .
ㅇ 1×""/>"	"<img src=""paste-e2d84ebbbeedb85e35a9d0b93e994e0ddc17e6da.jpg"" title/>X<div><img src=""paste-7f9c2bf2166a052d7770218d6c0264a280371542.png"" title/><br/></div>"
"<img src=""paste-cfc66eab1cdfe8c6e2c400939e6af8fdcf705b21.jpg"" title=""10 &lt;5 기본서 0.235 참조대형소화기는화재시사람이운반할수있도록운반대와바퀴가설치되어있고능력단위가 ^ 급 5 단위이상 , 8 급 10 단위이상인소화기를말하며 , 수평거리 30[m] 이내마다비치하여야한다 .
Q1%""/>"	"<img src=""paste-8d715bace022fbda463e221219ad8f188c36f254.jpg"" title/>X<div><img src=""paste-08f0d0ddbff8c2a907ac21293863209242595e4a.png"" title/><br/></div>"
"<img src=""paste-806b71d4279de839d2a3b99d1261004d29effb02.jpg"" title=""n 가본서 0.235 참조말대형소화기의소화약제충전량은 20[&lt;0] 이상이어야하며 , 이산화탄소대형소화기의충전량은 80[ ㄴ ] 이상이어야한다 .
o1 x""/>"	"<img src=""paste-910de724d8325349f6f95d78dd0ac2467f2e2348.jpg"" title/>X<div><img src=""paste-08f0d0ddbff8c2a907ac21293863209242595e4a.png"" title/><br/></div>"
"<img src=""paste-6ea42ca0b1ac567ba22d3bca9762ff8ef7b19e47.jpg"" title=""12 &lt;&gt; 기본서 0.236 참조가압식소화기는본체용기중에소화약제와함께소화약제의방출원이되는질소등압축가스를봉입한방식의소화기를말하며 , 지시압력계의정상범위는 0.7 ~ 0.98
[Mpa] 이다 .
ㅇ 1×""/>"	"<img src=""paste-cff72c6e6b8525fb9df0fe123a0e5090ad829134.jpg"" title/>X<div><img src=""paste-c2e5295478988e72c28174d112fbbbdca24fe671.png"" title/><br/></div>"
