#separator:tab
#html:true
"<img src=""paste-425c49bfc42f092cac370b6d664196d91941aa80.jpg"" title='이 &lt;5 기본서 0.368 참조고려시대에는소방을사라질소 , 재앙재 "" 소재 (\&amp;)” 라하였다 .'/><div><img src=""image-7240b2f6e06da1fd193703b2171b83818d20cf06.jpg"" title=""시기
89
고려시대조선시대갑오개혁""/><br/></div>"	"<img src=""paste-e37fac2484352a70b50e3c81c805c8454ab995ec.jpg"" title/>O<div><img src=""paste-4cf382716c366467fed9f1c894f3e7307723b079.png"" title/><br/></div>"
"<img src=""paste-35f1a854bac1866e8e1542cf37d9558172b6b635.jpg"" title=""02 5 기본서 0.368 참조협의의소방이란현대사회의다양한소방서비스요구에부합하는각종재난및안전관련업무까지포함하는것을의미한다 .
ㅇ 1×""/>"	"<img src=""paste-d9387fa32d01ff2669d6c067148f3f6f8857bdfa.jpg"" title/>X<div><img src=""paste-4cf382716c366467fed9f1c894f3e7307723b079.png"" title/><br/></div>"
"<img src=""paste-d2b13b8e8061b742d263ffb0f46c72da51df472a.jpg"" title=""03 &lt;5 기본서 6.369 참조소방기본법령상목적은화재를예방 - 경계하거나진압하고화재 , 재난 - 재해 , 그밖의위급한상황에서의구조 - 구급활동 S 통하여국민의생명 - 신체및재산을보호함으로써공공의안전및국민경제에이바지함을목적으로한다 .
ㅇ 1×""/>"	"<img src=""paste-2d9363f408dd6ae362f2d8d91691f9d1d485672b.jpg"" title/>X<div><img src=""paste-4cf382716c366467fed9f1c894f3e7307723b079.png"" title/><br/></div>"
"<img src=""paste-75c518e54ea26adb75eb1623a5ee97ffe9a004e2.jpg"" title='04 5 기본서 0.369 참조소방의심벌중 "" 톡수리 "" 는우리나라전통 MM 천연기념물로지정한것으로 , 예방과경계 , 용맹을상징한다 .
ㅇ 1×'/>"	"<img src=""paste-447855cdc235b13eb527dfd60557a7a538dc3269.jpg"" title/>X"
"<img src=""paste-f58438c07313ca2dfdcdaf293da2a2253fca7e9e.jpg"" title=""05 &gt; 기본서 0.371 참조
1948 년에소방법이제정되었으며 , 이시기의소방은풍수해 , 설해및화재를포함하였다 . 또한 , 1958 년풍수해대책법이제정되어소방에서풍수해 , 설해는제외되고화재의예방 , 경계 , 진압의개념을나타내었다 .
ㅇ 1×""/>"	"<img src=""paste-2ca8049d84202b027f4fcf6fa600443a2cc3e007.jpg"" title/>X<div><img src=""image-dcc53382ccc6b74839b543c83209e1a44999a20c.jpg"" title/><br/></div>"
"<img src=""paste-670637d5d11ceb4cc9aaca25506adacd61742402.jpg"" title=""06 &lt;5 기본서 0.37! 참조소방에서기본적임무는구조대및구급대의운영등정부의기능중봉사기능 , 그가운데에서도직접적서비스기능을말한다 .
ㅇ 1×""/>"	"<img src=""paste-1cda2f4283daf3f8cfb6338e95b6f5a9a63af281.jpg"" title/>X<div><img src=""image-60fc3bb29642a3fb1620b61423b4d7cb787b6c3f.jpg"" title/><br/></div>"
"<img src=""paste-7764ab6320d000e161484f31195b6711c1f67118.jpg"" title=""07 &lt;&gt; 기본서 6.372 참조석기시대에처음금화의식이탄생하였고 , 삼국시대에화재에대한예방의식이 ot
져초가지붕보다기와지붕을사용하였다 .
ㅇ 1×""/>"	"<img src=""paste-de3682247a4161942615b88cb1891b33121c003d.jpg"" title/>X<div><img src=""image-60fc3bb29642a3fb1620b61423b4d7cb787b6c3f.jpg"" title/><br/></div>"
"<img src=""paste-77cedd9e2f78d61f92a03ad6fbcca5b828848b7e.jpg"" title=""08 &lt;5 기본서 0.372 참조조선시대에는화재의발생빈도가높아짐에따라금화원제도를시작하였다 .
ㅇ 1×""/><div><img src=""image-7240b2f6e06da1fd193703b2171b83818d20cf06.jpg"" title=""시기
89
고려시대조선시대갑오개혁""/><br/></div>"	"<img src=""paste-198540a22dd53b282b263ee5f6d65ac310b54d1a.jpg"" title/>X<div><img src=""image-60fc3bb29642a3fb1620b61423b4d7cb787b6c3f.jpg"" title/><br/></div>"
"<img src=""paste-10a1fcbd9acc86b2469fcd6e76c842fca03aa1d4.jpg"" title=""09 &lt;&gt; 기본서 0.373 참조금화조건은우리나라최초의소방법규로조선시대의태종 17 년에공포하였다 .
ㅇ 1*""/>"	"<img src=""paste-400c5c9d3eccb00f774c8b70dfdd930901ec9aa9.jpg"" title/>X<div><img src=""image-dcc53382ccc6b74839b543c83209e1a44999a20c.jpg"" title/><br/></div>"
"<img src=""paste-13e0699c430c3b32efeeb6a43b7587b0ed335a1b.jpg"" title=""10 &lt;&gt; 기본서 0.373 참조세종 8 년에금화도감은한성부의대형화재를계기로우리나라최조의소방기구로설치되었다 .
ㅇ 1×""/>"	"<img src=""paste-1ebd18ae1b9472def0ff9eb1ac54810a0ebe55a1.jpg"" title/>O<div><img src=""image-dcc53382ccc6b74839b543c83209e1a44999a20c.jpg"" title/><br/></div>"
"<img src=""paste-34965c7e38cf4bf56c60ccee8e724c5e995205a8.jpg"" title=""n &lt;&gt; 기본서 0373 참조금화도감은공조소속으로두었으며 , 제조 7 명 , 사 5 명 , 부사 6 명 , 판관 6 명으로구성되었다 .
ㅇ 1※""/>"	"<img src=""paste-7ccde2501f4510ba9581ff0060f2715b9808a838.jpg"" title/>X<div><img src=""paste-0979c2378ea52d642ce9450b6dd2810b6abf6c60.jpg"" title/><br/></div>"
