#separator:tab
#html:true
"<img src=""paste-6d5132053d0c1b9c309241f12c4141da0547784b.jpg"" title=""o1 &lt;&gt; 기본서 0.461 참조아네스 (8「. J. Anesth) = 재난을크게자연재난과인적 ( 인위 ) 재난으로구분하였고 ,
E2(David K. Jones)i= 재난을크게자연재난 , 준자연재난 , 인적 ( 인위 ) 재난으로구분하였다 .
ㅇ 1×""/>"	"<img src=""paste-169dc9379efe37462e679265562426bd69870c23.jpg"" title=""""><img src=""paste-f3068d8217a1f6d8f33ca7a7939fdde2a08d4ba5.jpg"" title=""""><div><img src=""paste-b174d33c8b1ce9abbe83fa567c663efe255c957b.png"" title=""""><br></div>"
"<img src=""paste-e27b55f563b6a3662266ef55956e112b33cc2703.jpg"" title=""02 &lt;5 기본서 0461 참조존스 (10065) 의재해의분류중 “ 쓰나미 ” 는자연재해중기상학적재해에속한다 .
ㅇ 1×""/><div>산사태</div><div>눈사태</div>"	"<img src=""paste-20534cf3cc85f48267fb52591e70a08d2faae27a.jpg"" title/><img src=""paste-f3068d8217a1f6d8f33ca7a7939fdde2a08d4ba5.jpg"" title/><div><img src=""paste-b174d33c8b1ce9abbe83fa567c663efe255c957b.png"" title/><br/></div>"
"<img src=""paste-5bc1987eaa44874dd415e6e4535ea78938bf6c06.jpg"" title='03 &lt;5 기본서 0.461 참조
E2(Jones)| 재해의분류중 “ 산사태 "" 는자연새해중지형학적자해에속하며 , “ 눈사태 ”
는자연재해중기상학적재해에속한다 .
ㅇ 1×'/><div>쓰나미</div>"	"<img src=""paste-b98afcfcaedb1d05a0450073cb2dc26ab5c659a0.jpg"" title/><img src=""paste-f3068d8217a1f6d8f33ca7a7939fdde2a08d4ba5.jpg"" title/><div><img src=""paste-b174d33c8b1ce9abbe83fa567c663efe255c957b.png"" title/><br/></div>"
"<img src=""paste-4a279bfaaef8afdf53c891a5709bc1a7f0e55141.jpg"" title='04 기본서 0.462 참조
"" 재난및안전관리기본법 」 제 3 조제 1 호에따른재난은자연재난 , 사회재난 , 해외재난으로구분된다 .
o1x'/>"	"<img src=""paste-e701cb48fc4dd809ad84711f8de1b2a71acd01d1.jpg"" title/><img src=""paste-f3068d8217a1f6d8f33ca7a7939fdde2a08d4ba5.jpg"" title/><div><img src=""paste-a93bb9fe8e541682fb4455e81417140a6b7242d3.png"" title/><br/></div>"
"<img src=""paste-fa8cdcc9d999784ea6353deb6ad994a6cd68cc05.jpg"" title='05 &gt; 기본서 6.462 참조
k3, 폭염 , 황사 , 조류대발생 , 조수 , 붕괴 , 폭발은모두 「 재난및안전관리기본법 」제
3 조제 1 호에따른 “ 자연재난 "" 으로구분된다 .
ㅇ 1※'/>"	"<img src=""paste-6243e78ed0f65de0415e6d4422e9ef6ff3cdd15e.jpg"" title=""""><img src=""paste-70b7e16f1b366d8534e452502ae400e15f51574a.jpg"" title=""""><div><img src=""paste-a93bb9fe8e541682fb4455e81417140a6b7242d3.png"" title=""""><br></div>"
"<img src=""paste-aa73bee1367644c506d774f5aa78a701d3305c62.jpg"" title=""06 Qi pas gz
다중운집인파사고등으로인하여발생하는대통령령으로정하는규모이상의피해와국가핵심기반의마비는 ' 재난및안전관리기본법 」 제 3 조제 1 호에따른 &quot; 사회재난 ”
으로구분된다 .
o1x""/>"	"<img src=""paste-9677961e0c7c8e29e5ab13348f53f80e038b0a16.jpg"" title/><img src=""paste-70b7e16f1b366d8534e452502ae400e15f51574a.jpg"" title/><div><img src=""paste-a93bb9fe8e541682fb4455e81417140a6b7242d3.png"" title/><br/></div>"
"<img src=""paste-c6cee09331b4f5df36d24223a20ec0e9f37e7320.jpg"" title='07 &lt;&gt; 기본서 0.462 참조재난의특성중 “ 불확실성 ""” 이란가시적발생이전부터누적되어온위험요인들이특정한시점에표출된결과를의미한다 .
0 ㅇ 1×'/><div><img src=""image-8d51641c42b1d6ddd316bbdf5a8c9ecb9bc8a575.jpg"" title='내용가시적발생이전부터누적되어온위험요인들이특정한시점에표출된결과를의미위험의객관적인차원과주관적인차원간의불일치등으로표현
E] 동일한재난을보고 "" 기술적사고 ” 로인식하거나 "" 대재양 "" 으로인식재닌은비션형적 ㆍ 유기적혹은진화적인과정에따라발생재난의상호작용성에의해발생띠더홍수의발생과함께감염병확산이발생한경우'/><br/></div>"	"<img src=""paste-139f2d5adefa5c965461808f5472d8d0cac95980.jpg"" title/><img src=""paste-70b7e16f1b366d8534e452502ae400e15f51574a.jpg"" title/><div><img src=""paste-a93bb9fe8e541682fb4455e81417140a6b7242d3.png"" title/><br/></div>"
"<img src=""paste-c3a4ad34603fc9be88e0bb3b930d254be65acb62.jpg"" title=""08 &lt;5 기본서 0.462 참조자연재난은사회재난에비해통제불가능한것으로인식하며 , 발생기간이단기적이고급격하게나타나며피해범위가넓다는특징을갖는다 .
ㅇ 1%×※""/>"	"<img src=""paste-83f8f0488daac377c498264f23663dccdbebe6d1.jpg"" title/><img src=""paste-70b7e16f1b366d8534e452502ae400e15f51574a.jpg"" title/><div><img src=""paste-a93bb9fe8e541682fb4455e81417140a6b7242d3.png"" title/><br/></div>"
"<img src=""paste-ba930295ab336717d7a47034f3a5e6fe407f24b4.jpg"" title='09 5 기보서 6.463 잠조
812[3|(H. W. Heinrich)2| 도미노이론은재해발생과정을개인적결함 - 유전적요인및사회적환경 - 불안전행동및불안전상태 -"" 사고 -"" 재해 ( 상해 ) 라는 5 개 2
인의연쇄작용으로설명하였다 .
ㅇ 1×'/><div>재해발생비율</div>"	"<img src=""paste-d270d9eef7ed48948afecf1cecab5f5c7157a95a.jpg"" title/><img src=""paste-cfe0be1861a2465cc5f86ba593e21803ca0eea72.jpg"" title/><div><img src=""paste-555b21705228b1003a41a6cc2eb0dd20cc413225.png"" title/><br/></div>"
"<img src=""paste-016d812514917a6b1a6ec209c8b4baeb9509e803.jpg"" title='10 &lt;&gt; 기본서 6.463 참조
S1212[51(H. W. Heinrich)2| 고전적도미노이론에의한재해발생비는 ""1 : 10 : 300”
이고 , 플랭크 H{=(Frank Bird)2| 최신식도미노이론에의한재해발생비는 “""1: 50 :
300 : 600""” 이다 .
ㅇ 1×'/>"	"<img src=""paste-a344b3c5d0cd4adda75c832ad175c9d09b6cad35.jpg"" title/><img src=""paste-cfe0be1861a2465cc5f86ba593e21803ca0eea72.jpg"" title/><div><img src=""paste-555b21705228b1003a41a6cc2eb0dd20cc413225.png"" title/><br/></div><div><img src=""paste-b832c341724187e48308035fe30a9fbf1d48da60.png"" title/><br/></div>"
"<img src=""paste-62aab2d5f57bc268687386edc4144df2e13c0aff.jpg"" title='n &lt;&gt; 기본서 0.463 참조하인리히 (1.\. Heinrich) ] 도미노이론의 5 단계중사고의직접적원인이되는 3 번째단계에해당하는것은 ""“ 사회적환경요소 ” 이다 .
ㅇ 1×'/>"	"<img src=""paste-24a0ef153e7749f3555285fd0c7d9ed27527adf6.jpg"" title=""""><img src=""paste-cfe0be1861a2465cc5f86ba593e21803ca0eea72.jpg"" title=""""><div><img src=""image-5dfeacc3f1d1963d32e953ebcbdb71fc5a88713f.jpg"" title=""""><br></div>"
